experiment,dataset,pair,method,check_id,requirement,status,evidence_files,details
dynasemble_main,MKG-W,M-Hyper + NativE,DynaSemble,D02,TEST consumes the immutable DEV lock without configuration drift,PASS,outputs/paper_a_safe_correction/dynasemble/mkg_w/mhyper_native/lock.json | outputs/paper_a_safe_correction/dynasemble/mkg_w/mhyper_native/dev_query_rows.csv | outputs/paper_a_safe_correction/dynasemble/mkg_w/mhyper_native/test_query_rows.csv | outputs/paper_a_safe_correction/dynasemble/mkg_w/mhyper_native/test_summary.json | outputs/mkg_w/anchored_dynamic/mhyper_native_seed123/full_ranking/selection.json | docs/protocols/paper_a_dynasemble_four_pair_protocol.md,lock_sha256=4367219f681ac2bcfa373e7dd838a138dde9a0095f21bcb39f5f7efb82ef49c6; summary_lock_match=True; method_config_match=True; Global selection hash match=True; protocol hash match=True.
dynasemble_main,MKG-W,M-Hyper + NativE,DynaSemble,D03,"TEST model pair, seeds, selector hashes, Global alpha, and exact base ranking inputs match the DEV lock",PASS,outputs/paper_a_safe_correction/dynasemble/mkg_w/mhyper_native/lock.json | outputs/paper_a_safe_correction/dynasemble/mkg_w/mhyper_native/test_query_rows.csv | outputs/paper_a_safe_correction/dynasemble/mkg_w/mhyper_native/test_summary.json | outputs/mkg_w/anchored_dynamic/mhyper_native_seed123/test_full_ranking/test_query_rows.csv,"Validated 25,644 TEST rows; exact-reference rank mismatches=0; max RR error=0; reference hash match=True."
dynasemble_main,MKG-W,M-Hyper + NativE,DynaSemble,D04,Frozen base-model run assets match the hashes recorded before TEST,PASS,outputs/paper_a_safe_correction/dynasemble/mkg_w/mhyper_native/lock.json,All seed-specific expert config and checkpoint hashes match the DEV lock.
dynasemble_main,MKG-W,M-Hyper + NativE,DynaSemble,D05,Any provenance-only lock rebind did not inspect TEST or change method/hyperparameters,PASS,outputs/paper_a_safe_correction/dynasemble/mkg_w/mhyper_native/lock.json,provenance_rebind_count=0; each rebind marks test_outcomes_read=false and method_or_hyperparameter_changed=false and records the verified execution-critical hashes.
grouped_folds,MKG-W,M-Hyper + AdaMF-MAT,Query-soft / Anchored / core ablations,F01,All seeds and both directions of an original triple share one grouped DEV fold,PASS,outputs/mkg_w/anchored_dynamic/mhyper_adamf_seed123/baseline_crossfit/dev_crossfit_query_rows.csv,"Validated 4,276 original-triple clusters and 25,656 observations; each cluster has 3 seeds x 2 directions in one fold."
main_static_query_soft_anchored,MKG-W,M-Hyper + AdaMF-MAT,Global alpha,G01,Global alpha is determined from DEV only and inherited unchanged,PASS,outputs/mkg_w/anchored_dynamic/mhyper_adamf_seed123/full_ranking/selection.json | outputs/mkg_w/anchored_dynamic/mhyper_adamf_seed123/full_ranking/dev_query_rows.csv | outputs/mkg_w/anchored_dynamic/mhyper_adamf_seed123/dev_lock/anchored_dev_lock.json,selection_sha256=f1c688963e62b52470c30ee722713bb372c51df61421503396cfbc3e5e8ad198; global_alpha=1.0; lock_alpha0=1.0; DEV source hash match=True.
main_static_query_soft_anchored,MKG-W,M-Hyper + AdaMF-MAT,Anchored Dynamic,A01,Anchored beta and confidence threshold are selected using DEV only,PASS,outputs/mkg_w/anchored_dynamic/mhyper_adamf_seed123/dev_lock/anchored_dev_lock.json | outputs/mkg_w/anchored_dynamic/mhyper_adamf_seed123/full_ranking/dev_query_rows.csv | outputs/mkg_w/anchored_dynamic/mhyper_adamf_seed123/full_ranking/selection.json | outputs/mkg_w/anchored_dynamic/mhyper_adamf_seed123/dev_lock/anchored_model.pkl,selection_boundary='all fitting and hyperparameter selection use DEV only'; beta=0.5; threshold=0.1.
main_static_query_soft_anchored,MKG-W,M-Hyper + AdaMF-MAT,Query-soft / Anchored Dynamic,A02,"Feature schema, model pair, seeds, alpha grid, and locked parameters match between DEV lock and TEST apply",PASS,outputs/mkg_w/anchored_dynamic/mhyper_adamf_seed123/dev_lock/anchored_dev_lock.json | outputs/mkg_w/anchored_dynamic/mhyper_adamf_seed123/test_anchored/test_locked_query_rows.csv | outputs/mkg_w/anchored_dynamic/mhyper_adamf_seed123/test_anchored/test_locked_summary.json,"feature_schema_match=True; alpha_grid_match=True; policy_mirror_match=True; rows=25,644; row_metadata_problems=none."
main_static_query_soft_anchored,MKG-W,M-Hyper + AdaMF-MAT,Global / Query-soft / Anchored Dynamic,A03,TEST apply uses the exact frozen base score/rank assets,PASS,outputs/mkg_w/anchored_dynamic/mhyper_adamf_seed123/test_full_ranking/test_query_rows.csv | outputs/mkg_w/anchored_dynamic/mhyper_adamf_seed123/test_anchored/test_locked_query_rows.csv,"Matched 25,644 TEST observations over ranks, reciprocal ranks, Global alpha, and all 21 exact-ranking alpha-grid RR columns."
main_static_query_soft_anchored,MKG-W,M-Hyper + AdaMF-MAT,Anchored Dynamic,A04,An immutable DEV lock is consumed before TEST evaluation,PASS,outputs/mkg_w/anchored_dynamic/mhyper_adamf_seed123/dev_lock/anchored_dev_lock.json | outputs/mkg_w/anchored_dynamic/mhyper_adamf_seed123/dev_lock/anchored_model.pkl | outputs/mkg_w/anchored_dynamic/mhyper_adamf_seed123/test_anchored/test_locked_summary.json,TEST summary embeds an exact copy of the DEV policy; locked model and selection hashes match. The immutable apply path cannot produce this summary without loading the lock.
dynasemble_main,MKG-W,M-Hyper + AdaMF-MAT,DynaSemble,D01,One selector per paired seed is trained on DEV only,PASS,outputs/paper_a_safe_correction/dynasemble/mkg_w/mhyper_adamf/lock.json | outputs/paper_a_safe_correction/dynasemble/mkg_w/mhyper_adamf/dev_query_rows.csv | outputs\paper_a_safe_correction\dynasemble\mkg_w\mhyper_adamf\selectors\seed1.pt | outputs\paper_a_safe_correction\dynasemble\mkg_w\mhyper_adamf\selectors\seed2.pt | outputs\paper_a_safe_correction\dynasemble\mkg_w\mhyper_adamf\selectors\seed3.pt,training_split=dev_only; three seed-specific selector hashes match; TEST excluded from training/selection.
dynasemble_main,MKG-W,M-Hyper + AdaMF-MAT,DynaSemble,D02,TEST consumes the immutable DEV lock without configuration drift,PASS,outputs/paper_a_safe_correction/dynasemble/mkg_w/mhyper_adamf/lock.json | outputs/paper_a_safe_correction/dynasemble/mkg_w/mhyper_adamf/dev_query_rows.csv | outputs/paper_a_safe_correction/dynasemble/mkg_w/mhyper_adamf/test_query_rows.csv | outputs/paper_a_safe_correction/dynasemble/mkg_w/mhyper_adamf/test_summary.json | outputs/mkg_w/anchored_dynamic/mhyper_adamf_seed123/full_ranking/selection.json | docs/protocols/paper_a_dynasemble_four_pair_protocol.md,lock_sha256=faa9ead15f78f0502cea5dab898b2e1abacec7a6002b6958cc5578d471012649; summary_lock_match=True; method_config_match=True; Global selection hash match=True; protocol hash match=True.
dynasemble_main,MKG-W,M-Hyper + AdaMF-MAT,DynaSemble,D03,"TEST model pair, seeds, selector hashes, Global alpha, and exact base ranking inputs match the DEV lock",PASS,outputs/paper_a_safe_correction/dynasemble/mkg_w/mhyper_adamf/lock.json | outputs/paper_a_safe_correction/dynasemble/mkg_w/mhyper_adamf/test_query_rows.csv | outputs/paper_a_safe_correction/dynasemble/mkg_w/mhyper_adamf/test_summary.json | outputs/mkg_w/anchored_dynamic/mhyper_adamf_seed123/test_full_ranking/test_query_rows.csv,"Validated 25,644 TEST rows; exact-reference rank mismatches=0; max RR error=0; reference hash match=True."
dynasemble_main,MKG-W,M-Hyper + AdaMF-MAT,DynaSemble,D04,Frozen base-model run assets match the hashes recorded before TEST,PASS,outputs/paper_a_safe_correction/dynasemble/mkg_w/mhyper_adamf/lock.json,All seed-specific expert config and checkpoint hashes match the DEV lock.
dynasemble_main,MKG-W,M-Hyper + AdaMF-MAT,DynaSemble,D05,Any provenance-only lock rebind did not inspect TEST or change method/hyperparameters,PASS,outputs/paper_a_safe_correction/dynasemble/mkg_w/mhyper_adamf/lock.json,provenance_rebind_count=0; each rebind marks test_outcomes_read=false and method_or_hyperparameter_changed=false and records the verified execution-critical hashes.
grouped_folds,DB15K,M-Hyper + NativE,Query-soft / Anchored / core ablations,F01,All seeds and both directions of an original triple share one grouped DEV fold,PASS,outputs/db15k/anchored_dynamic/mhyper_native_seed123/baseline_crossfit/dev_crossfit_query_rows.csv,"Validated 7,922 original-triple clusters and 47,532 observations; each cluster has 3 seeds x 2 directions in one fold."
main_static_query_soft_anchored,DB15K,M-Hyper + NativE,Global alpha,G01,Global alpha is determined from DEV only and inherited unchanged,PASS,outputs/db15k/anchored_dynamic/mhyper_native_seed123/full_ranking/selection.json | outputs/db15k/anchored_dynamic/mhyper_native_seed123/full_ranking/dev_query_rows.csv | outputs/db15k/anchored_dynamic/mhyper_native_seed123/dev_lock/anchored_dev_lock.json,selection_sha256=b0378a6bc3bc7f8ee50dc1f0aeee2d0073df801372d4f657dd35113ed07d2c04; global_alpha=1.0; lock_alpha0=1.0; DEV source hash match=True.
main_static_query_soft_anchored,DB15K,M-Hyper + NativE,Anchored Dynamic,A01,Anchored beta and confidence threshold are selected using DEV only,PASS,outputs/db15k/anchored_dynamic/mhyper_native_seed123/dev_lock/anchored_dev_lock.json | outputs/db15k/anchored_dynamic/mhyper_native_seed123/full_ranking/dev_query_rows.csv | outputs/db15k/anchored_dynamic/mhyper_native_seed123/full_ranking/selection.json | outputs/db15k/anchored_dynamic/mhyper_native_seed123/dev_lock/anchored_model.pkl,selection_boundary='all fitting and hyperparameter selection use DEV only'; beta=0.5; threshold=0.0.
main_static_query_soft_anchored,DB15K,M-Hyper + NativE,Query-soft / Anchored Dynamic,A02,"Feature schema, model pair, seeds, alpha grid, and locked parameters match between DEV lock and TEST apply",PASS,outputs/db15k/anchored_dynamic/mhyper_native_seed123/dev_lock/anchored_dev_lock.json | outputs/db15k/anchored_dynamic/mhyper_native_seed123/test_anchored/test_locked_query_rows.csv | outputs/db15k/anchored_dynamic/mhyper_native_seed123/test_anchored/test_locked_summary.json,"feature_schema_match=True; alpha_grid_match=True; policy_mirror_match=True; rows=59,412; row_metadata_problems=none."
main_static_query_soft_anchored,DB15K,M-Hyper + NativE,Global / Query-soft / Anchored Dynamic,A03,TEST apply uses the exact frozen base score/rank assets,PASS,outputs/db15k/anchored_dynamic/mhyper_native_seed123/test_full_ranking/test_query_rows.csv | outputs/db15k/anchored_dynamic/mhyper_native_seed123/test_anchored/test_locked_query_rows.csv,"Matched 59,412 TEST observations over ranks, reciprocal ranks, Global alpha, and all 21 exact-ranking alpha-grid RR columns."
main_static_query_soft_anchored,DB15K,M-Hyper + NativE,Anchored Dynamic,A04,An immutable DEV lock is consumed before TEST evaluation,PASS,outputs/db15k/anchored_dynamic/mhyper_native_seed123/dev_lock/anchored_dev_lock.json | outputs/db15k/anchored_dynamic/mhyper_native_seed123/dev_lock/anchored_model.pkl | outputs/db15k/anchored_dynamic/mhyper_native_seed123/test_anchored/test_locked_summary.json,TEST summary embeds an exact copy of the DEV policy; locked model and selection hashes match. The immutable apply path cannot produce this summary without loading the lock.
dynasemble_main,DB15K,M-Hyper + NativE,DynaSemble,D01,One selector per paired seed is trained on DEV only,PASS,outputs/paper_a_safe_correction/dynasemble/db15k/mhyper_native/lock.json | outputs/paper_a_safe_correction/dynasemble/db15k/mhyper_native/dev_query_rows.csv | outputs\paper_a_safe_correction\dynasemble\db15k\mhyper_native\selectors\seed1.pt | outputs\paper_a_safe_correction\dynasemble\db15k\mhyper_native\selectors\seed2.pt | outputs\paper_a_safe_correction\dynasemble\db15k\mhyper_native\selectors\seed3.pt,training_split=dev_only; three seed-specific selector hashes match; TEST excluded from training/selection.
dynasemble_main,DB15K,M-Hyper + NativE,DynaSemble,D02,TEST consumes the immutable DEV lock without configuration drift,PASS,outputs/paper_a_safe_correction/dynasemble/db15k/mhyper_native/lock.json | outputs/paper_a_safe_correction/dynasemble/db15k/mhyper_native/dev_query_rows.csv | outputs/paper_a_safe_correction/dynasemble/db15k/mhyper_native/test_query_rows.csv | outputs/paper_a_safe_correction/dynasemble/db15k/mhyper_native/test_summary.json | outputs/db15k/anchored_dynamic/mhyper_native_seed123/full_ranking/selection.json | docs/protocols/paper_a_dynasemble_four_pair_protocol.md,lock_sha256=ad10678bdc1cb2b43e8105d1980202edd49ac7e06be3489844e976a2f75cace1; summary_lock_match=True; method_config_match=True; Global selection hash match=True; protocol hash match=True.
dynasemble_main,DB15K,M-Hyper + NativE,DynaSemble,D03,"TEST model pair, seeds, selector hashes, Global alpha, and exact base ranking inputs match the DEV lock",PASS,outputs/paper_a_safe_correction/dynasemble/db15k/mhyper_native/lock.json | outputs/paper_a_safe_correction/dynasemble/db15k/mhyper_native/test_query_rows.csv | outputs/paper_a_safe_correction/dynasemble/db15k/mhyper_native/test_summary.json | outputs/db15k/anchored_dynamic/mhyper_native_seed123/test_full_ranking/test_query_rows.csv,"Validated 59,412 TEST rows; exact-reference rank mismatches=0; max RR error=0; reference hash match=True."
dynasemble_main,DB15K,M-Hyper + NativE,DynaSemble,D04,Frozen base-model run assets match the hashes recorded before TEST,PASS,outputs/paper_a_safe_correction/dynasemble/db15k/mhyper_native/lock.json,All seed-specific expert config and checkpoint hashes match the DEV lock.
dynasemble_main,DB15K,M-Hyper + NativE,DynaSemble,D05,Any provenance-only lock rebind did not inspect TEST or change method/hyperparameters,PASS,outputs/paper_a_safe_correction/dynasemble/db15k/mhyper_native/lock.json,provenance_rebind_count=0; each rebind marks test_outcomes_read=false and method_or_hyperparameter_changed=false and records the verified execution-critical hashes.
grouped_folds,DB15K,M-Hyper + AdaMF-MAT,Query-soft / Anchored / core ablations,F01,All seeds and both directions of an original triple share one grouped DEV fold,PASS,outputs/db15k/anchored_dynamic/mhyper_adamf_seed123/baseline_crossfit/dev_crossfit_query_rows.csv,"Validated 7,922 original-triple clusters and 47,532 observations; each cluster has 3 seeds x 2 directions in one fold."
main_static_query_soft_anchored,DB15K,M-Hyper + AdaMF-MAT,Global alpha,G01,Global alpha is determined from DEV only and inherited unchanged,PASS,outputs/db15k/anchored_dynamic/mhyper_adamf_seed123/full_ranking/selection.json | outputs/db15k/anchored_dynamic/mhyper_adamf_seed123/full_ranking/dev_query_rows.csv | outputs/db15k/anchored_dynamic/mhyper_adamf_seed123/dev_lock/anchored_dev_lock.json,selection_sha256=4bbac94200d8d11821670e4a183f92975baba5c2531bf13f50aedf0fba64f282; global_alpha=1.0; lock_alpha0=1.0; DEV source hash match=True.
main_static_query_soft_anchored,DB15K,M-Hyper + AdaMF-MAT,Anchored Dynamic,A01,Anchored beta and confidence threshold are selected using DEV only,PASS,outputs/db15k/anchored_dynamic/mhyper_adamf_seed123/dev_lock/anchored_dev_lock.json | outputs/db15k/anchored_dynamic/mhyper_adamf_seed123/full_ranking/dev_query_rows.csv | outputs/db15k/anchored_dynamic/mhyper_adamf_seed123/full_ranking/selection.json | outputs/db15k/anchored_dynamic/mhyper_adamf_seed123/dev_lock/anchored_model.pkl,selection_boundary='all fitting and hyperparameter selection use DEV only'; beta=0.5; threshold=0.3.
main_static_query_soft_anchored,DB15K,M-Hyper + AdaMF-MAT,Query-soft / Anchored Dynamic,A02,"Feature schema, model pair, seeds, alpha grid, and locked parameters match between DEV lock and TEST apply",PASS,outputs/db15k/anchored_dynamic/mhyper_adamf_seed123/dev_lock/anchored_dev_lock.json | outputs/db15k/anchored_dynamic/mhyper_adamf_seed123/test_anchored/test_locked_query_rows.csv | outputs/db15k/anchored_dynamic/mhyper_adamf_seed123/test_anchored/test_locked_summary.json,"feature_schema_match=True; alpha_grid_match=True; policy_mirror_match=True; rows=59,412; row_metadata_problems=none."
main_static_query_soft_anchored,DB15K,M-Hyper + AdaMF-MAT,Global / Query-soft / Anchored Dynamic,A03,TEST apply uses the exact frozen base score/rank assets,PASS,outputs/db15k/anchored_dynamic/mhyper_adamf_seed123/test_full_ranking/test_query_rows.csv | outputs/db15k/anchored_dynamic/mhyper_adamf_seed123/test_anchored/test_locked_query_rows.csv,"Matched 59,412 TEST observations over ranks, reciprocal ranks, Global alpha, and all 21 exact-ranking alpha-grid RR columns."
main_static_query_soft_anchored,DB15K,M-Hyper + AdaMF-MAT,Anchored Dynamic,A04,An immutable DEV lock is consumed before TEST evaluation,PASS,outputs/db15k/anchored_dynamic/mhyper_adamf_seed123/dev_lock/anchored_dev_lock.json | outputs/db15k/anchored_dynamic/mhyper_adamf_seed123/dev_lock/anchored_model.pkl | outputs/db15k/anchored_dynamic/mhyper_adamf_seed123/test_anchored/test_locked_summary.json,TEST summary embeds an exact copy of the DEV policy; locked model and selection hashes match. The immutable apply path cannot produce this summary without loading the lock.
dynasemble_main,DB15K,M-Hyper + AdaMF-MAT,DynaSemble,D01,One selector per paired seed is trained on DEV only,PASS,outputs/paper_a_safe_correction/dynasemble/db15k/mhyper_adamf/lock.json | outputs/paper_a_safe_correction/dynasemble/db15k/mhyper_adamf/dev_query_rows.csv | outputs\paper_a_safe_correction\dynasemble\db15k\mhyper_adamf\selectors\seed1.pt | outputs\paper_a_safe_correction\dynasemble\db15k\mhyper_adamf\selectors\seed2.pt | outputs\paper_a_safe_correction\dynasemble\db15k\mhyper_adamf\selectors\seed3.pt,training_split=dev_only; three seed-specific selector hashes match; TEST excluded from training/selection.
dynasemble_main,DB15K,M-Hyper + AdaMF-MAT,DynaSemble,D02,TEST consumes the immutable DEV lock without configuration drift,PASS,outputs/paper_a_safe_correction/dynasemble/db15k/mhyper_adamf/lock.json | outputs/paper_a_safe_correction/dynasemble/db15k/mhyper_adamf/dev_query_rows.csv | outputs/paper_a_safe_correction/dynasemble/db15k/mhyper_adamf/test_query_rows.csv | outputs/paper_a_safe_correction/dynasemble/db15k/mhyper_adamf/test_summary.json | outputs/db15k/anchored_dynamic/mhyper_adamf_seed123/full_ranking/selection.json | docs/protocols/paper_a_dynasemble_four_pair_protocol.md,lock_sha256=7ee6c3c608ace74d2afb94abb17cf6a02fedfc18bc33e7e110b56d62004d5a3d; summary_lock_match=True; method_config_match=True; Global selection hash match=True; protocol hash match=True.
dynasemble_main,DB15K,M-Hyper + AdaMF-MAT,DynaSemble,D03,"TEST model pair, seeds, selector hashes, Global alpha, and exact base ranking inputs match the DEV lock",PASS,outputs/paper_a_safe_correction/dynasemble/db15k/mhyper_adamf/lock.json | outputs/paper_a_safe_correction/dynasemble/db15k/mhyper_adamf/test_query_rows.csv | outputs/paper_a_safe_correction/dynasemble/db15k/mhyper_adamf/test_summary.json | outputs/db15k/anchored_dynamic/mhyper_adamf_seed123/test_full_ranking/test_query_rows.csv,"Validated 59,412 TEST rows; exact-reference rank mismatches=0; max RR error=0; reference hash match=True."
dynasemble_main,DB15K,M-Hyper + AdaMF-MAT,DynaSemble,D04,Frozen base-model run assets match the hashes recorded before TEST,PASS,outputs/paper_a_safe_correction/dynasemble/db15k/mhyper_adamf/lock.json,All seed-specific expert config and checkpoint hashes match the DEV lock.
dynasemble_main,DB15K,M-Hyper + AdaMF-MAT,DynaSemble,D05,Any provenance-only lock rebind did not inspect TEST or change method/hyperparameters,PASS,outputs/paper_a_safe_correction/dynasemble/db15k/mhyper_adamf/lock.json,provenance_rebind_count=0; each rebind marks test_outcomes_read=false and method_or_hyperparameter_changed=false and records the verified execution-critical hashes.
grouped_folds,MKG-W,NativE + AdaMF-MAT,Query-soft / Anchored / core ablations,F01,All seeds and both directions of an original triple share one grouped DEV fold,PASS,outputs/mkg_w/anchored_dynamic/native_adamf_seed123/baseline_crossfit/dev_crossfit_query_rows.csv,"Validated 4,276 original-triple clusters and 25,656 observations; each cluster has 3 seeds x 2 directions in one fold."
boundary_static_query_soft_anchored,MKG-W,NativE + AdaMF-MAT,Global alpha,G01,Global alpha is determined from DEV only and inherited unchanged,PASS,outputs/mkg_w/anchored_dynamic/native_adamf_seed123/full_ranking/selection.json | outputs/mkg_w/anchored_dynamic/native_adamf_seed123/full_ranking/dev_query_rows.csv | outputs/paper_a_safe_correction/boundary_pairs/mkg_w/native_adamf/anchored/dev_lock/anchored_dev_lock.json,selection_sha256=15bd47d17171a3e603c5a5fb2f27bc33875ef6fd7f78a95be3f12f67d3fdfeaf; global_alpha=0.95; lock_alpha0=0.95; DEV source hash match=True.
boundary_static_query_soft_anchored,MKG-W,NativE + AdaMF-MAT,Anchored Dynamic,A01,Anchored beta and confidence threshold are selected using DEV only,PASS,outputs/paper_a_safe_correction/boundary_pairs/mkg_w/native_adamf/anchored/dev_lock/anchored_dev_lock.json | outputs/mkg_w/anchored_dynamic/native_adamf_seed123/full_ranking/dev_query_rows.csv | outputs/mkg_w/anchored_dynamic/native_adamf_seed123/full_ranking/selection.json | outputs/paper_a_safe_correction/boundary_pairs/mkg_w/native_adamf/anchored/dev_lock/anchored_model.pkl,selection_boundary='all fitting and hyperparameter selection use DEV only'; beta=0.5; threshold=0.3.
boundary_static_query_soft_anchored,MKG-W,NativE + AdaMF-MAT,Query-soft / Anchored Dynamic,A02,"Feature schema, model pair, seeds, alpha grid, and locked parameters match between DEV lock and TEST apply",PASS,outputs/paper_a_safe_correction/boundary_pairs/mkg_w/native_adamf/anchored/dev_lock/anchored_dev_lock.json | outputs/paper_a_safe_correction/boundary_pairs/mkg_w/native_adamf/anchored/test_anchored/test_locked_query_rows.csv | outputs/paper_a_safe_correction/boundary_pairs/mkg_w/native_adamf/anchored/test_anchored/test_locked_summary.json,"feature_schema_match=True; alpha_grid_match=True; policy_mirror_match=True; rows=25,644; row_metadata_problems=none."
boundary_static_query_soft_anchored,MKG-W,NativE + AdaMF-MAT,Global / Query-soft / Anchored Dynamic,A03,TEST apply uses the exact frozen base score/rank assets,PASS,outputs/paper_a_safe_correction/boundary_pairs/mkg_w/native_adamf/test_full_ranking/test_query_rows.csv | outputs/paper_a_safe_correction/boundary_pairs/mkg_w/native_adamf/anchored/test_anchored/test_locked_query_rows.csv,"Matched 25,644 TEST observations over ranks, reciprocal ranks, Global alpha, and all 21 exact-ranking alpha-grid RR columns."
boundary_static_query_soft_anchored,MKG-W,NativE + AdaMF-MAT,Anchored Dynamic,A04,An immutable DEV lock is consumed before TEST evaluation,PASS,outputs/paper_a_safe_correction/boundary_pairs/mkg_w/native_adamf/anchored/dev_lock/anchored_dev_lock.json | outputs/paper_a_safe_correction/boundary_pairs/mkg_w/native_adamf/anchored/dev_lock/anchored_model.pkl | outputs/paper_a_safe_correction/boundary_pairs/mkg_w/native_adamf/anchored/test_anchored/test_locked_summary.json,TEST summary embeds an exact copy of the DEV policy; locked model and selection hashes match. The immutable apply path cannot produce this summary without loading the lock.
